CASE_NUMBER,BLOCK,COMMUNITY_AREA,LOCATION_DESCRIPTION
A059609,4200 W ARTHINGTON ST,WEST GARFIELD PARK,ALLEY
JG223397,9700 S BRENNAN AVE,SOUTH DEERING,YARD
JF525690,7800 S BENNETT AVE,SOUTH SHORE,STREET
A066732,7000 S ABERDEEN ST,ENGLEWOOD,ABANDONED BUILDING
A067125,5600 S DAMEN AVE,WEST ENGLEWOOD,ALLEY
A084677,400 E 71ST ST,GREATER GRAND CROSSING,AUTO
JG121219,2400 W 47TH PL,BRIGHTON PARK,SIDEWALK
A089367,2400 S KEDVALE AVE,SOUTH LAWNDALE,STREET
A089441,5600 S DR MARTIN LUTHER KING JR DR,WASHINGTON PARK,STREET
A090347,5600 W MADISON ST,AUSTIN,AUTO
A091694,800 E 50TH ST,KENWOOD,STREET
A093004,1200 S LAWNDALE AVE,NORTH LAWNDALE,STREET
A099977,12000 S PERRY AVE,WEST PULLMAN,STREET
A102223,5800 S PRAIRIE AVE,WASHINGTON PARK,APARTMENT
JG223738,5400 W MADISON ST,AUSTIN,TAVERN
JG182586,2200 S WABASH AVE,NEAR SOUTH SIDE,STREET
JG184406,400 E 88TH ST,CHATHAM,ALLEY
JG181369,200 S WABASH AVE,LOOP,"CTA ""L"" PLATFORM"
A111173,100 W 95TH ST,ROSELAND,STREET
A112362,1200 S KEELER AVE,NORTH LAWNDALE,AUTO
A116749,11600 S YALE AVE,WEST PULLMAN,APARTMENT
A117442,5500 S THROOP ST,WEST ENGLEWOOD,AUTO
A117716,100 E 46TH ST,GRAND BOULEVARD,AUTO
HY555741,2600 S HOMAN AVE,SOUTH LAWNDALE,SIDEWALK
HY556211,1000 N LOREL AVE,AUSTIN,SIDEWALK
HZ100040,9200 S DREXEL AVE,BURNSIDE,RESIDENCE
JF428394,1500 E 65TH ST,WOODLAWN,RESIDENCE - PORCH / HALLWAY
JG170734,1400 W 78TH ST,AUBURN GRESHAM,SIDEWALK
JG182321,6000 S PULASKI RD,WEST LAWN,SIDEWALK
A117834,1400 S THOMPSON DR,NORTH LAWNDALE,PARK PROPERTY
A119634,11500 S MICHIGAN AVE,WEST PULLMAN,STREET
A122257,300 E 75TH ST,GREATER GRAND CROSSING,LIQUOR STORE
A122523,5000 W FULTON ST,AUSTIN,AUTO
A125034,2800 W 25TH PL,SOUTH LAWNDALE,STREET
A127043,7000 S MICHIGAN AVE,GREATER GRAND CROSSING,STREET
A127449,12000 S MICHIGAN AVE,WEST PULLMAN,HOUSE
A135019,5700 S SANGAMON ST,ENGLEWOOD,HOUSE
A165746,6300 S WOLCOTT AVE,WEST ENGLEWOOD,HOUSE
A169888,500 N MONTICELLO AVE,HUMBOLDT PARK,AUTO
A171105,800 W 87TH ST,AUBURN GRESHAM,STREET
A173330,1200 W 73RD ST,WEST ENGLEWOOD,STREET
A175547,4600 W MAYPOLE AVE,AUSTIN,ALLEY
A183178,700 N KILPATRICK AVE,AUSTIN,STREET
A184552,8800 S ADA ST,AUBURN GRESHAM,YARD
HL552519,13500 S FOREST AVE,RIVERDALE,RIVER
A185571,3800 W WEST END AVE,WEST GARFIELD PARK,AUTO
HV117302,1400 E 76TH ST,SOUTH SHORE,STREET
A186201,6600 S PARNELL AVE,ENGLEWOOD,STREET
A192411,3500 W HURON ST,HUMBOLDT PARK,AUTO
A192882,3900 W VAN BUREN ST,WEST GARFIELD PARK,APARTMENT
A196932,300 N MENARD AVE,AUSTIN,PORCH
A200485,200 N HOMAN AVE,EAST GARFIELD PARK,STREET
A206854,5600 S ASHLAND AVE,WEST ENGLEWOOD,RETAIL STORE
A207072,5600 S JUSTINE ST,WEST ENGLEWOOD,APARTMENT
A230365,2600 S CALIFORNIA AVE,SOUTH LAWNDALE,COUNTY JAIL
JG104899,4200 W 55TH ST,WEST ELSDON,STREET
A231326,4800 S CHAMPLAIN AVE,GRAND BOULEVARD,STREET
A233047,4200 S PRINCETON AVE,FULLER PARK,CHA APARTMENT
A233173,7200 S ASHLAND AVE,WEST ENGLEWOOD,STREET
HP489255,600 E 131ST ST,RIVERDALE,CHA GROUNDS
JG185850,1200 W ROOSEVELT RD,NEAR WEST SIDE,STREET
A237344,1300 S TROY ST,NORTH LAWNDALE,STREET
A237820,4200 S WELLS ST,FULLER PARK,APARTMENT
