CASE_NUMBER,BLOCK,COMMUNITY_AREA,LOCATION_DESCRIPTION
JG187863,1300 E 79TH ST,AVALON PARK,PARKING LOT
A314483,600 W 73RD ST,ENGLEWOOD,APARTMENT
A316199,4300 W MADISON ST,WEST GARFIELD PARK,AUTO
A320987,6500 S SANGAMON ST,ENGLEWOOD,STREET
A332431,1700 W 73RD ST,WEST ENGLEWOOD,STREET
JG188084,1600 W CONGRESS PKWY,NEAR WEST SIDE,HOSPITAL BUILDING / GROUNDS
HZ100306,5400 S WINCHESTER AVE,NEW CITY,STREET
HZ100730,2800 W 59TH ST,CHICAGO LAWN,STREET
JG239492,1900 S STATE ST,NEAR SOUTH SIDE,STREET
JG238734,7100 S MERRILL AVE,SOUTH SHORE,ALLEY
JF335086,2200 W OAKDALE AVE,NORTH CENTER,STREET
JG239571,1700 W 44TH ST,NEW CITY,RESIDENCE
A333965,8000 S PRAIRIE AVE,CHATHAM,APARTMENT
A335935,3200 W WALNUT ST,EAST GARFIELD PARK,STREET
A336086,4300 W 16TH ST,NORTH LAWNDALE,STREET
A336144,100 E 119TH ST,WEST PULLMAN,STREET
A338883,4200 W GLADYS AVE,WEST GARFIELD PARK,AUTO
A343188,4400 W WEST END AVE,WEST GARFIELD PARK,STREET
A343812,7000 S MICHIGAN AVE,GREATER GRAND CROSSING,STREET
A344050,100 E 58TH ST,WASHINGTON PARK,STREET
A346172,5500 S HALSTED ST,ENGLEWOOD,STREET
A347539,3400 W DOUGLAS BLVD,NORTH LAWNDALE,STREET
A348589,1900 S SPAULDING AVE,NORTH LAWNDALE,HOUSE
A351048,0 N MAYFIELD AVE,AUSTIN,AUTO
JG240976,800 E 79TH ST,CHATHAM,STREET
JG241238,3400 W OGDEN AVE,NORTH LAWNDALE,STREET
JF419418,1500 N LEAMINGTON AVE,AUSTIN,STREET
JA225224,6600 S CAMPBELL AVE,CHICAGO LAWN,STREET
A353063,7200 S WENTWORTH AVE,GREATER GRAND CROSSING,STREET
A353129,5800 S JUSTINE ST,WEST ENGLEWOOD,AUTO
JD315357,7100 S STONY ISLAND AVE,SOUTH SHORE,STREET
A360528,7200 S EMERALD AVE,ENGLEWOOD,STREET
A361727,200 N KEYSTONE AVE,WEST GARFIELD PARK,ALLEY
A363459,1400 S PULASKI RD,NORTH LAWNDALE,RESTAURANT
A385323,100 N LARAMIE AVE,AUSTIN,STREET
A388013,4000 W MAYPOLE AVE,WEST GARFIELD PARK,AUTO
A391127,6900 S PRAIRIE AVE,GREATER GRAND CROSSING,STREET
A400701,4200 W GLADYS AVE,WEST GARFIELD PARK,STREET
A403238,1100 W 103RD ST,WASHINGTON HEIGHTS,STREET
A403252,4800 W QUINCY ST,AUSTIN,STREET
A405257,6200 S LOOMIS ST,WEST ENGLEWOOD,APARTMENT
A405656,4000 W WEST END AVE,WEST GARFIELD PARK,AUTO
A406201,10700 S PRINCETON AVE,ROSELAND,STREET
A406649,1300 W 64TH ST,WEST ENGLEWOOD,PARK PROPERTY
A409961,1400 S KEDVALE AVE,NORTH LAWNDALE,STREET
A411223,2500 S AVERS AVE,SOUTH LAWNDALE,ALLEY
A413593,3500 S DEARBORN ST,DOUGLAS,AUTO
A415405,5400 W WASHINGTON BLVD,AUSTIN,AUTO
A418762,400 S KILBOURN AVE,WEST GARFIELD PARK,STREET
A423832,4300 W WILCOX ST,WEST GARFIELD PARK,STREET
A424318,4400 W CONGRESS PKWY,WEST GARFIELD PARK,AUTO
A424601,4400 W MONROE ST,WEST GARFIELD PARK,STREET
A844534,100 S HAMLIN AV,,AUTO
JG189784,10500 S YATES AVE,SOUTH DEERING,STREET
JG190610,500 E 67TH ST,WOODLAWN,STREET
JG189597,1000 N CENTRAL AVE,AUSTIN,YARD
JG190007,5200 W ALTGELD ST,BELMONT CRAGIN,STREET
A425608,600 N LONG AVE,AUSTIN,STREET
A426106,3300 W 31ST ST,SOUTH LAWNDALE,STREET
A428070,7400 S RACINE AVE,WEST ENGLEWOOD,STREET
A429882,5600 S CALUMET AVE,WASHINGTON PARK,APARTMENT
A432548,600 W 59TH ST,ENGLEWOOD,ALLEY
A432702,700 S SPRINGFIELD AVE,WEST GARFIELD PARK,STREET
A433124,700 S KEELER AVE,WEST GARFIELD PARK,STREET
A433578,5700 S WINCHESTER AVE,WEST ENGLEWOOD,STREET
A437846,7200 S GREEN ST,ENGLEWOOD,PORCH
A440128,3500 W 27TH ST,SOUTH LAWNDALE,STREET
A441443,6400 S BISHOP ST,WEST ENGLEWOOD,STREET
A442703,4600 W FULTON ST,AUSTIN,AUTO
A453183,4100 S FEDERAL ST,GRAND BOULEVARD,CHA GROUNDS
A477018,1400 S HARDING AVE,NORTH LAWNDALE,STREET
A483540,1800 S MILLARD AVE,NORTH LAWNDALE,APARTMENT
A484225,3900 W GRENSHAW ST,NORTH LAWNDALE,STREET
A484908,6600 S GREEN ST,ENGLEWOOD,PARKING LOT
A485217,500 E BROWNING AVE,DOUGLAS,CHA LOBBY
A495556,10500 S WENTWORTH AVE,ROSELAND,YARD
A496923,3700 W CHICAGO AVE,HUMBOLDT PARK,STREET
A498846,4600 S MICHIGAN AVE,GRAND BOULEVARD,STREET
A500946,1200 S AVERS AVE,NORTH LAWNDALE,PORCH
A500970,700 N LAMON AVE,AUSTIN,STREET
A501638,3900 W MADISON ST,WEST GARFIELD PARK,RETAIL STORE
A504960,6900 S LAFLIN ST,WEST ENGLEWOOD,STREET
A504999,100 N LOREL AVE,AUSTIN,STREET
A505150,3700 S ELLIS AVE,OAKLAND,CHA APARTMENT
A507026,300 S KILBOURN AVE,WEST GARFIELD PARK,AUTO
A508997,200 E 46TH ST,GRAND BOULEVARD,STREET
A509634,2600 S CALIFORNIA AVE,SOUTH LAWNDALE,COUNTY JAIL
A511604,400 N LAMON AVE,AUSTIN,STREET
A513256,8900 S ELIZABETH ST,WASHINGTON HEIGHTS,PORCH
A516910,3600 W FRANKLIN BLVD,HUMBOLDT PARK,APARTMENT
A518663,5600 S RACINE AVE,ENGLEWOOD,STREET
A520548,4500 S HALSTED ST,NEW CITY,APARTMENT
A530564,300 N MENARD AVE,AUSTIN,STREET
A572591,600 N LOTUS AVE,AUSTIN,HOUSE
A579649,700 E PERSHING RD,OAKLAND,CHA BREEZEWAY
A585709,3500 W 33RD ST,SOUTH LAWNDALE,PRAIRIE
A589302,3600 S ELLIS AVE,OAKLAND,YARD
A589475,4000 W WEST END AVE,WEST GARFIELD PARK,APARTMENT
A590963,5100 S LOWE AVE,NEW CITY,STREET
A591578,1500 W 71ST PL,WEST ENGLEWOOD,STREET
A596205,3400 W VAN BUREN ST,EAST GARFIELD PARK,STREET
A605741,1400 S CENTRAL PARK AVE,NORTH LAWNDALE,STREET
A606220,4800 W ERIE ST,AUSTIN,STREET
A609299,1700 W 64TH ST,WEST ENGLEWOOD,APARTMENT
A613105,1400 S HARDING AVE,NORTH LAWNDALE,STREET
A613427,7100 S ASHLAND AVE,WEST ENGLEWOOD,GAS STATION
A616109,8800 S HALSTED ST,AUBURN GRESHAM,AUTO
A616347,4300 W VAN BUREN ST,WEST GARFIELD PARK,APARTMENT
A616572,4300 W 18TH ST,NORTH LAWNDALE,APARTMENT
A616746,5000 S CHAMPLAIN AVE,GRAND BOULEVARD,STREET
A618702,4100 W JACKSON BLVD,WEST GARFIELD PARK,STREET
A619939,4200 W MADISON ST,WEST GARFIELD PARK,STREET
A620209,3800 W WASHINGTON BLVD,WEST GARFIELD PARK,STREET
A620358,4800 W ADAMS ST,AUSTIN,STREET
A620634,6900 S CARPENTER ST,ENGLEWOOD,STREET
A621706,5700 S DAMEN AVE,WEST ENGLEWOOD,STREET
A622110,4200 W JACKSON BLVD,WEST GARFIELD PARK,ALLEY
A625102,700 W 51ST ST,NEW CITY,STREET
JD250234,2900 W 51ST ST,GAGE PARK,STREET
JB311624,1200 S LOOMIS ST,NEAR WEST SIDE,STREET
HV164849,2500 E 79TH ST,SOUTH SHORE,STREET
JF217548,1900 W GARFIELD BLVD,NEW CITY,STREET
JG126633,2900 E 78TH ST,SOUTH SHORE,APARTMENT
A625198,100 S PULASKI RD,WEST GARFIELD PARK,AUTO
JD297706,1100 S MICHIGAN AVE,LOOP,PARK PROPERTY
A628908,1500 S TRUMBULL AVE,NORTH LAWNDALE,APARTMENT
A632596,200 W 109TH ST,ROSELAND,STREET
A632679,6400 S GREEN ST,ENGLEWOOD,PORCH
A650144,11100 S VERNON AVE,ROSELAND,STREET
A651989,3800 W GRENSHAW ST,NORTH LAWNDALE,AUTO
A660510,3800 S COTTAGE GROVE AVE,OAKLAND,CHA PARKING LOT
A661260,12000 S MICHIGAN AVE,WEST PULLMAN,STREET
A663537,8700 S CARPENTER ST,AUBURN GRESHAM,STREET
JC521133,6900 S INDIANA AVE,GREATER GRAND CROSSING,SIDEWALK
JE126034,2300 W MONROE ST,NEAR WEST SIDE,AUTO
A668595,3700 S FEDERAL ST,DOUGLAS,CHA LOBBY
A671869,3800 W MONROE ST,WEST GARFIELD PARK,STREET
A681045,7700 S CALUMET AVE,GREATER GRAND CROSSING,AUTO
A693465,200 E 115TH ST,WEST PULLMAN,ALLEY
A693988,12300 S PARNELL AVE,WEST PULLMAN,AUTO
A696299,11800 S HARVARD AVE,WEST PULLMAN,GANGWAY
A700137,12200 S WALLACE ST,WEST PULLMAN,STREET
A700715,700 N AVERS AVE,HUMBOLDT PARK,STREET
A705405,4000 W GLADYS AVE,WEST GARFIELD PARK,STREET
A705569,100 N WALLER AVE,AUSTIN,STREET
A705912,7300 S LOWE AVE,ENGLEWOOD,VACANT LOT
A715885,300 N HOMAN AVE,EAST GARFIELD PARK,GANGWAY
A716057,700 N RIDGEWAY AVE,HUMBOLDT PARK,ALLEY
A717228,5800 S JUSTINE ST,WEST ENGLEWOOD,STREET
A726681,6200 S HONORE ST,WEST ENGLEWOOD,APARTMENT
A728386,3800 S PRAIRIE AVE,DOUGLAS,STREET
A731300,4100 S PRAIRIE AVE,GRAND BOULEVARD,CHA HALLWAY
A732577,3700 S WABASH AVE,DOUGLAS,STREET
A732999,3700 W 25TH ST,SOUTH LAWNDALE,STREET
A733017,600 E 38TH ST,OAKLAND,CHA GROUNDS
A736987,5500 W CORCORAN PL,AUSTIN,AUTO
A738480,3500 W LEXINGTON ST,EAST GARFIELD PARK,PORCH
A742224,4800 W ADAMS ST,AUSTIN,PORCH
A746414,100 S KOSTNER AVE,WEST GARFIELD PARK,STREET
A746533,10600 S LAFAYETTE AVE,ROSELAND,PORCH
A749210,6600 S CARPENTER ST,ENGLEWOOD,STREET
A763443,500 W 60TH PL,ENGLEWOOD,APARTMENT
A763929,500 E 49TH ST,GRAND BOULEVARD,STREET
A768847,9200 S ADA ST,WASHINGTON HEIGHTS,HOUSE
A772828,6000 S HONORE ST,WEST ENGLEWOOD,AUTO
A773067,600 E 71ST ST,GREATER GRAND CROSSING,APARTMENT
JG191200,7600 S ESSEX AVE,SOUTH SHORE,RESIDENCE
A773706,1800 S KOMENSKY AVE,NORTH LAWNDALE,AUTO
A774348,600 N CHRISTIANA AVE,HUMBOLDT PARK,STREET
A777083,12000 S WENTWORTH AVE,WEST PULLMAN,AUTO
JG208678,900 N HAMLIN AVE,HUMBOLDT PARK,YARD
HZ101863,10100 S MICHIGAN AVE,ROSELAND,STREET
HZ102261,3800 S ALBANY AVE,BRIGHTON PARK,SIDEWALK
JG225210,8300 S LUELLA AVE,SOUTH CHICAGO,HOUSE
JG241315,4900 W HUBBARD ST,AUSTIN,STREET
HZ102928,900 N LAVERGNE AVE,AUSTIN,SIDEWALK
JG240957,1600 E 69TH ST,SOUTH SHORE,RESIDENCE - YARD (FRONT / BACK)
HZ103661,4300 W PALMER ST,HERMOSA,STREET
JG241019,3800 S INDIANA AVE,DOUGLAS,STREET
JG241804,3900 W ROOSEVELT RD,NORTH LAWNDALE,SIDEWALK
A778322,2400 S HAMLIN AVE,SOUTH LAWNDALE,ALLEY
A781969,3800 W OGDEN AVE,NORTH LAWNDALE,STREET
A785456,5600 W CORCORAN PL,AUSTIN,STREET
A788664,3800 W 15TH ST,NORTH LAWNDALE,AUTO
A797398,300 E 69TH ST,GREATER GRAND CROSSING,STREET
A799691,700 W 119TH ST,WEST PULLMAN,APARTMENT
A802212,3800 S LANGLEY AVE,OAKLAND,CHA APARTMENT
A804365,6800 S PERRY AVE,GREATER GRAND CROSSING,APARTMENT
A810040,6200 S ASHLAND AVE,WEST ENGLEWOOD,STREET
A810797,4200 S WENTWORTH AVE,FULLER PARK,ALLEY
A810975,100 N LAVERGNE AVE,AUSTIN,APARTMENT
A812949,1300 S HOMAN AVE,NORTH LAWNDALE,STREET
A814745,3300 W ADAMS ST,EAST GARFIELD PARK,AUTO
A820663,4500 S MICHIGAN AVE,GRAND BOULEVARD,STREET
A832282,4300 W LAKE ST,WEST GARFIELD PARK,AUTO
A843331,7400 S RACINE AVE,WEST ENGLEWOOD,AUTO
A843916,6800 S HERMITAGE AVE,WEST ENGLEWOOD,HOUSE
A846882,4200 W WILCOX ST,WEST GARFIELD PARK,AUTO
A858088,7400 S GREEN ST,ENGLEWOOD,RAILROAD PROPERTY
A858959,500 S KOSTNER AVE,WEST GARFIELD PARK,AUTO
A867495,4600 S CALUMET AVE,GRAND BOULEVARD,STREET
A870430,1400 S HARDING AVE,NORTH LAWNDALE,STREET
A872630,4200 W GRENSHAW ST,NORTH LAWNDALE,ALLEY
A872827,400 E 71ST ST,GREATER GRAND CROSSING,STREET
Y405560,10800 S DAUPHIN AVE,ROSELAND,VACANT LOT
JG242326,100 W 92ND ST,ROSELAND,SIDEWALK
HV445179,3000 S WALLACE ST,BRIDGEPORT,STREET
JG169965,4500 S DREXEL BLVD,KENWOOD,APARTMENT
A877360,5700 S INDIANA AVE,WASHINGTON PARK,STREET
A879292,200 W 112TH ST,ROSELAND,AUTO
A887511,3500 W FRANKLIN BV,HUMBOLDT PARK,APARTMENT
A895223,12500 S EMERALD AVE,WEST PULLMAN,STREET
A899238,11700 S INDIANA AVE,WEST PULLMAN,APARTMENT
A905179,1100 S MAYFIELD AVE,AUSTIN,STREET
JD326898,100 N WABASH AVE,LOOP,STREET
A908134,1800 W 69TH ST,WEST ENGLEWOOD,APARTMENT
A909773,6400 S MAY ST,ENGLEWOOD,APARTMENT
JE212212,7900 S ARTESIAN AVE,ASHBURN,RESIDENCE
A910245,9900 S PARNELL AVE,WASHINGTON HEIGHTS,YARD
A911049,2200 S HOMAN AVE,SOUTH LAWNDALE,ALLEY
A911082,3300 W CHICAGO AVE,HUMBOLDT PARK,CLUB
A912679,2800 S TRUMBULL AVE,SOUTH LAWNDALE,STREET
A912797,500 E 38TH ST,DOUGLAS,STREET
A915046,3800 W MADISON ST,WEST GARFIELD PARK,AUTO
JG241407,100 N LA CROSSE AVE,AUSTIN,STREET
JG125776,8400 S HOLLAND RD,CHATHAM,ALLEY
HS371929,3000 N KOLMAR AVE,HERMOSA,YARD
A917260,1900 W 72ND ST,WEST ENGLEWOOD,AUTO
A917330,5900 S STATE ST,WASHINGTON PARK,RETAIL STORE
A921689,100 N LAPORTE AVE,AUSTIN,AUTO
JE330041,2200 S MICHIGAN AVE,NEAR SOUTH SIDE,STREET
JF370528,6400 N BELL AVE,WEST RIDGE,STREET
A922915,1800 W 69TH ST,WEST ENGLEWOOD,APARTMENT
A926213,5500 S HOYNE AVE,WEST ENGLEWOOD,PORCH
A928975,1300 S HOMAN AVE,NORTH LAWNDALE,VACANT LOT
A993525,0 S MAYFIELD AVE,AUSTIN,STREET
B000038,6400 S BISHOP ST,WEST ENGLEWOOD,HOUSE
B003173,0 W 97TH ST,ROSELAND,STREET
JE386308,1900 E 72ND PL,SOUTH SHORE,STREET
HS465732,5100 W MONROE ST,AUSTIN,STREET
B005155,300 N CENTRAL AVE,AUSTIN,STREET
B011515,6600 S HAMILTON AVE,WEST ENGLEWOOD,HOUSE
B022696,6000 S MAY ST,ENGLEWOOD,APARTMENT
JE380184,8300 S VINCENNES AVE,AUBURN GRESHAM,STREET
JD304271,300 N LEAVITT ST,NEAR WEST SIDE,STREET
B023979,300 N LARAMIE AVE,AUSTIN,POOLROOM
B027907,7100 S ST LAWRENCE AVE,GREATER GRAND CROSSING,STREET
B032357,1800 S KOSTNER AVE,NORTH LAWNDALE,PARKING LOT
B034540,700 N KILPATRICK AVE,AUSTIN,STREET
HT502251,5800 S WASHTENAW AVE,GAGE PARK,ALLEY
B041572,5500 S PEORIA ST,ENGLEWOOD,HOUSE
B041815,800 E 74TH ST,GREATER GRAND CROSSING,HOUSE
B042570,100 S SPRINGFIELD AVE,WEST GARFIELD PARK,AUTO
B043823,4000 W CONGRESS PKWY,WEST GARFIELD PARK,STREET
B045457,4300 W MADISON ST,WEST GARFIELD PARK,STREET
B046092,3700 S INDIANA AVE,DOUGLAS,ABANDONED BUILDING
B050491,5900 W ROOSEVELT RD,AUSTIN,AUTO
B051651,4700 W FULTON ST,AUSTIN,APARTMENT
JG196440,700 E 79TH ST,GREATER GRAND CROSSING,CONVENIENCE STORE
JG242383,5000 S WOOD ST,NEW CITY,STREET
JG243055,5400 S FAIRFIELD AVE,GAGE PARK,STREET
JF226715,100 N WABASH AVE,LOOP,ALLEY
JG197476,4700 S MICHIGAN AVE,GRAND BOULEVARD,ALLEY
B052552,5400 S FEDERAL ST,WASHINGTON PARK,GANGWAY
B052810,3800 S RHODES AVE,DOUGLAS,STREET
JG197986,5900 N KENMORE AVE,EDGEWATER,SIDEWALK
HZ105578,1200 N WESTERN AVE,WEST TOWN,STREET
JG190801,1500 W NORTH AVE,WEST TOWN,SIDEWALK
B056526,1200 S KILDARE AVE,NORTH LAWNDALE,APARTMENT
B062238,5600 S GREEN ST,ENGLEWOOD,STREET
B073417,400 E 37TH ST,DOUGLAS,STREET
B088508,700 N LARAMIE AVE,AUSTIN,STREET
B094577,500 E 51ST ST,GRAND BOULEVARD,STREET
B097661,9100 S EGGLESTON AVE,WASHINGTON HEIGHTS,HOUSE
JG198204,9500 S EWING AVE,EAST SIDE,VEHICLE NON-COMMERCIAL
JG199357,1500 W JONQUIL TER,ROGERS PARK,STREET
JG198232,7300 N GREENVIEW AVE,ROGERS PARK,VEHICLE NON-COMMERCIAL
JG244644,6000 W BLOOMINGDALE AVE,AUSTIN,STREET
JG190846,200 N CARPENTER ST,NEAR WEST SIDE,STREET
JG198959,1300 W 84TH ST,AUBURN GRESHAM,SIDEWALK
JG199405,3000 W MADISON ST,EAST GARFIELD PARK,ALLEY
JG198915,7800 S OGLESBY AVE,SOUTH SHORE,ALLEY
JC335335,900 N LAVERGNE AVE,AUSTIN,STREET
JD356992,3000 W 71ST ST,CHICAGO LAWN,SIDEWALK
B104908,10000 S ABERDEEN ST,WASHINGTON HEIGHTS,STREET
B114026,700 N LAVERGNE AVE,AUSTIN,AUTO
B115086,100 E 57TH ST,WASHINGTON PARK,ABANDONED BUILDING
JA386975,7100 S ELLIS AVE,GREATER GRAND CROSSING,ALLEY
B139719,200 W 63RD ST,ENGLEWOOD,AUTO
B141692,1500 S SPAULDING AVE,NORTH LAWNDALE,HALLWAY
B145798,600 W 71ST ST,ENGLEWOOD,STREET
JD411868,1300 E 47TH ST,KENWOOD,PARKING LOT / GARAGE (NON RESIDENTIAL)
B153764,400 W 102ND PL,WASHINGTON HEIGHTS,ALLEY
JF276431,1500 E 79TH ST,AVALON PARK,STREET
JG102312,1000 W 87TH ST,AUBURN GRESHAM,STREET
JG241702,5200 W ADAMS ST,AUSTIN,STREET
JG200257,1300 W 13TH ST,NEAR WEST SIDE,CHA PARKING LOT / GROUNDS
JB400219,4000 S CALUMET AVE,GRAND BOULEVARD,STREET
B162820,1400 W 72ND PL,WEST ENGLEWOOD,STREET
B170645,200 N KOSTNER AVE,WEST GARFIELD PARK,AUTO
B172514,6500 S CLAREMONT AVE,CHICAGO LAWN,STREET
B181620,7200 S RACINE AVE,ENGLEWOOD,STREET
B185913,4100 W WILCOX ST,WEST GARFIELD PARK,PORCH
B193140,3700 W 33RD ST,SOUTH LAWNDALE,STREET
B194426,3300 W 21ST ST,SOUTH LAWNDALE,AUTO
JF501659,7900 S COTTAGE GROVE AVE,CHATHAM,STREET
HZ171799,9400 S STONY ISLAND AVE,CALUMET HEIGHTS,SIDEWALK
HZ304215,8200 S WOODLAWN AVE,AVALON PARK,SIDEWALK
HP329147,600 E 115TH ST,RIVERDALE,PARKING LOT
JB303350,0 W 104TH PL,ROSELAND,GARAGE
JB510461,10200 S STATE ST,ROSELAND,RESTAURANT
HZ498211,8000 S MUSKEGON AVE,SOUTH CHICAGO,STREET
HZ523863,8800 S BURLEY AVE,SOUTH CHICAGO,PARKING LOT / GARAGE (NON RESIDENTIAL)
JA275085,9800 S HOXIE AVE,SOUTH DEERING,STREET
JB481026,6100 S INDIANA AVE,WASHINGTON PARK,STREET
JC216736,1500 E 73RD PL,SOUTH SHORE,ALLEY
JC265498,6700 S EBERHART AVE,WOODLAWN,SIDEWALK
B198035,5700 S HOYNE AVE,WEST ENGLEWOOD,STREET
JC436099,10600 S HOXIE AVE,SOUTH DEERING,SIDEWALK
B200931,4200 W MADISON ST,WEST GARFIELD PARK,LIQUOR STORE
B215908,4700 W JACKSON BLVD,AUSTIN,AUTO
B221499,6500 S ABERDEEN ST,ENGLEWOOD,STREET
B221824,6800 S HONORE ST,WEST ENGLEWOOD,PORCH
B225059,3200 W 19TH ST,NORTH LAWNDALE,ALLEY
B237365,5800 W JACKSON BLVD,AUSTIN,AUTO
JE330545,1600 E 72ND ST,SOUTH SHORE,STREET
JE387032,10500 S CHURCH ST,BEVERLY,RESIDENCE
JE376143,12800 S PARNELL AVE,WEST PULLMAN,SIDEWALK
JE155017,200 W 38TH ST,ARMOUR SQUARE,CHA PARKING LOT / GROUNDS
JC366313,3000 E 80TH ST,SOUTH CHICAGO,SIDEWALK
B237676,5700 W WASHINGTON BLVD,AUSTIN,HALLWAY
B241505,0 S KOSTNER AVE,WEST GARFIELD PARK,STREET
JF191007,4200 W 28TH ST,SOUTH LAWNDALE,STREET
HZ106720,4000 S ALBANY AVE,BRIGHTON PARK,SIDEWALK
HZ107209,1100 N MONTICELLO AVE,HUMBOLDT PARK,SIDEWALK
HZ107522,6600 S BLACKSTONE AVE,WOODLAWN,ALLEY
HZ107557,1100 S MOZART ST,NORTH LAWNDALE,RESIDENCE PORCH/HALLWAY
HZ107723,1100 N RIDGEWAY AVE,HUMBOLDT PARK,SIDEWALK
HZ108194,1100 N CENTRAL AVE,AUSTIN,SIDEWALK
JG233920,1800 E 71ST ST,SOUTH SHORE,STREET
B242443,300 W 124TH ST,WEST PULLMAN,AUTO
B246461,6500 S BELL AVE,CHICAGO LAWN,GANGWAY
B252819,11700 S ASHLAND AVE,WEST PULLMAN,HOUSE
B265353,5600 W WASHINGTON BLVD,AUSTIN,APARTMENT
B266316,6800 S THROOP ST,WEST ENGLEWOOD,APARTMENT
B267910,500 E 37TH PL,DOUGLAS,CHA GROUNDS
B268030,2500 S SPRINGFIELD AVE,SOUTH LAWNDALE,AUTO
B268033,4300 W 16TH ST,NORTH LAWNDALE,STREET
B272450,1600 S HOMAN AVE,NORTH LAWNDALE,STREET
B280141,7300 S HALSTED ST,ENGLEWOOD,GANGWAY
B281795,2900 W 23RD ST,SOUTH LAWNDALE,STREET
B284679,6600 S JUSTINE ST,WEST ENGLEWOOD,STREET
JF281025,5200 W KAMERLING AVE,AUSTIN,STREET
JG241645,1400 E 75TH ST,SOUTH SHORE,STREET
JG241999,8900 S SOUTH CHICAGO AVE,SOUTH CHICAGO,STREET
JG241681,7900 S MARQUETTE AVE,SOUTH CHICAGO,SIDEWALK
B284981,5600 S THROOP ST,WEST ENGLEWOOD,ALLEY
B285453,0 E 40TH ST,GRAND BOULEVARD,CTA PROPERTY
B289390,5600 S THROOP ST,WEST ENGLEWOOD,STREET
JD216194,11400 S HALSTED ST,MORGAN PARK,STREET
B297797,700 E 47TH ST,GRAND BOULEVARD,STREET
B303506,5800 S LAFLIN ST,WEST ENGLEWOOD,APARTMENT
B308171,4300 W LEXINGTON ST,WEST GARFIELD PARK,AUTO
B309557,6700 S CLAREMONT AVE,CHICAGO LAWN,STREET
B310120,200 N LATROBE AVE,AUSTIN,VACANT LOT
B312804,1300 W 60TH ST,WEST ENGLEWOOD,STREET
B321281,5200 W CONGRESS PKWY,AUSTIN,STREET
B328132,10000 S WALLACE ST,WASHINGTON HEIGHTS,STREET
JD400166,2000 E 93RD ST,CALUMET HEIGHTS,VEHICLE NON-COMMERCIAL
JD400675,10600 S OGLESBY AVE,SOUTH DEERING,APARTMENT
JD228487,9600 S AVENUE M,EAST SIDE,STREET
JD269180,9200 S DOBSON AVE,BURNSIDE,RESIDENCE - YARD (FRONT / BACK)
JD285019,8900 S EXCHANGE AVE,SOUTH CHICAGO,SIDEWALK
JD305486,1700 W 51ST ST,NEW CITY,STREET
B328824,10000 S LOWE AVE,WASHINGTON HEIGHTS,AUTO
B331550,3300 W FLOURNOY ST,EAST GARFIELD PARK,STREET
B332209,11800 S MICHIGAN AVE,WEST PULLMAN,ABANDONED BUILDING
B332855,3900 W JACKSON BLVD,WEST GARFIELD PARK,AUTO
B333009,5200 S FEDERAL ST,WASHINGTON PARK,CHA GROUNDS
B343137,5700 S WOLCOTT AVE,WEST ENGLEWOOD,ALLEY
B348853,100 E 118TH ST,WEST PULLMAN,ABANDONED BUILDING
B349406,6000 S MARSHFIELD AVE,WEST ENGLEWOOD,STREET
B354957,300 W 58TH ST,ENGLEWOOD,VACANT LOT
JD222447,1900 E 79TH ST,SOUTH CHICAGO,PARKING LOT / GARAGE (NON RESIDENTIAL)
B362326,200 W 115TH ST,WEST PULLMAN,PORCH
B364968,800 E 75TH ST,GREATER GRAND CROSSING,AUTO
B368759,300 S CENTRAL AVE,AUSTIN,APARTMENT
B381792,4700 W ADAMS ST,AUSTIN,STREET
JG242242,5600 S ELIZABETH ST,WEST ENGLEWOOD,ALLEY
B383441,4700 W JACKSON BLVD,AUSTIN,APARTMENT
B383891,5200 W HARRISON ST,AUSTIN,STREET
B385946,5800 S SANGAMON ST,ENGLEWOOD,AUTO
HZ108726,7900 S EXCHANGE AVE,SOUTH CHICAGO,PARKING LOT/GARAGE(NON.RESID.)
HZ109072,5800 S WASHTENAW AVE,GAGE PARK,STREET
JG242618,3800 S MICHIGAN AVE,DOUGLAS,STREET
JG242828,100 W 113TH ST,ROSELAND,DRIVEWAY
JG243075,6000 S SANGAMON ST,ENGLEWOOD,HOUSE
JG243402,1100 E 72ND ST,GREATER GRAND CROSSING,STREET
JG242528,10600 S WENTWORTH AVE,ROSELAND,ALLEY
JG243255,1900 W 47TH ST,NEW CITY,STREET
B392213,4200 S DR MARTIN LUTHER KING JR DR,GRAND BOULEVARD,STREET
B394482,3300 W 16TH ST,NORTH LAWNDALE,STREET
B398963,9100 S THROOP ST,WASHINGTON HEIGHTS,PARK PROPERTY
B404620,4500 S MICHIGAN AVE,GRAND BOULEVARD,ABANDONED BUILDING
B409551,700 N LARAMIE AVE,AUSTIN,STREET
B411488,3400 W CONGRESS PKWY,EAST GARFIELD PARK,STREET
B413816,12100 S ELIZABETH ST,WEST PULLMAN,STREET
B415287,0 N CICERO AVE,AUSTIN,RETAIL STORE
B423151,3900 W LEXINGTON ST,WEST GARFIELD PARK,PORCH
B425254,5600 S PAULINA ST,WEST ENGLEWOOD,STREET
JA297747,700 E 92ND ST,CHATHAM,STREET
JF445152,7200 S PHILLIPS AVE,SOUTH SHORE,PARKING LOT
JG243341,5900 S RICHMOND ST,CHICAGO LAWN,STREET
JA120938,7900 S LAFLIN ST,AUBURN GRESHAM,SIDEWALK
JA311836,10100 S WENTWORTH AVE,ROSELAND,STREET
